葉式特工 Yes Ranger,https://www.youtube.com/channel/UCXpxKdZAiyUEaTkoCPpEZzg
這群人TGOP,https://www.youtube.com/channel/UC6FcYHEm7SO1jpu5TKjNXEA
Pan Piano,https://www.youtube.com/channel/UCI7ktPB6toqucpkkCiolwLg
阿神,https://www.youtube.com/channel/UCnJEWsS5agXCkqIpyHC9Grg
阿滴英文,https://www.youtube.com/channel/UCeo3JwE3HezUWFdVcehQk9Q
蔡阿嘎,https://www.youtube.com/channel/UCPwxSX0DYDMQxCvgfeVDv_g
Joeman,https://www.youtube.com/channel/UCPRWWKG0VkBA0Pqa4Jr5j0Q
Ru's Piano Ru味春捲,https://www.youtube.com/channel/UCAYrMNl92jw6cpjdpBP8JyA
木曜4超玩,https://www.youtube.com/channel/UCLW_SzI9txZvtOFTPDswxqg
黃氏兄弟,https://www.youtube.com/channel/UCV_S2S-Zs8LeuJxK-T3RQQg
眾量級CROWD,https://www.youtube.com/channel/UC3LBFXbWtEBdOOUb8-qJm9Q
主頻道【谷阿莫】,https://www.youtube.com/channel/UC6IMF6xi_MZ3jA1wRlPQDLA
DE JuN,https://www.youtube.com/channel/UC4Aclpo5YyXbKPeiZNO_uiw
千千進食中,https://www.youtube.com/channel/UC9i2Qgd5lizhVgJrdnxunKw
MASAの料理ABC,https://www.youtube.com/channel/UCr90FXGOO8nAE9B6FAUeTNA
WACKYBOYS 反骨男孩,https://www.youtube.com/channel/UCEfetJrzg6OcXWWuX8uhdhw
蔡阿嘎Life,https://www.youtube.com/channel/UCtcaZ5FUqaNXGX6xhpiGPQA
黃阿瑪的後宮生活,https://www.youtube.com/channel/UCw2W7GIqJNB-UMUxncnMuiw
啾啾鞋,https://www.youtube.com/channel/UCIF_gt4BfsWyM_2GOcKXyEQ
白癡公主,https://www.youtube.com/channel/UCJWXJTaLqI5KBnJuaXbCaTg
STR Network,https://www.youtube.com/channel/UCDrswN-SqWh7Kii62h9aXGA
人生肥宅x尊,https://www.youtube.com/channel/UC6VKHP606ee6ffKwKmBHSig
三原JAPAN Sanyuan_JAPAN,https://www.youtube.com/channel/UCCBq7s8VOCyek275uvq5lYQ
莫彩曦 Hailey,https://www.youtube.com/channel/UCZqsvi6uhFrbsJcAmcZudcQ
HowFun,https://www.youtube.com/channel/UCxUzQ3wu0oJP_8YLWt71WgQ
滴妹,https://www.youtube.com/channel/UCGpNjY0Xq2GJLXh4OOX1LOA
77老大,https://www.youtube.com/channel/UC8zkK0-g8S8Z_t8ZjUmpAlA
Ku's dream酷的夢-,https://www.youtube.com/channel/UCV1OpUwWJCMiv6gJCRR6yAg
Rosalina's Kitchen 蘿潔塔的廚房,https://www.youtube.com/channel/UCcb9uxCoIgw7RQjQnlgd0Xw
安啾咪,https://www.youtube.com/channel/UCjhwHd3mgmqm0ONm0bXKmng
墨鏡哥SG,https://www.youtube.com/channel/UCpSB70OL7IO7RnZCj_7MQDw
喪屍老爸,https://www.youtube.com/channel/UCFsNxYnUEs4tcqyddJhW43g
狠愛演,https://www.youtube.com/channel/UCnfPDcASesYjcO5u-ELnb-Q
小玉,https://www.youtube.com/channel/UC24h-JBUHXT5HXIK_9cWOmQ
搞神馬,https://www.youtube.com/channel/UCAsviiS5DE0pcuvxPRrrAzQ
聖結石Saint,https://www.youtube.com/channel/UCIdhd_1spj49unBWx1fjS2A
Hook,https://www.youtube.com/channel/UCbIJeyl_va8MG2xx0q4Uobg
Onion Man,https://www.youtube.com/channel/UCzxN4G3s9uR9ao5_O5DoXmA
sandy mandy,https://www.youtube.com/channel/UChX5JaALoA1o80Cc5zkQz_Q
放火 Louis,https://www.youtube.com/channel/UCuLKTkYGCXako3wMktwrbkQ
魚乾,https://www.youtube.com/channel/UCpgt8SEyAy5tbr9BzVK8Lsg
NyoNyoTV妞妞TV,https://www.youtube.com/channel/UCWGGwv7agoMmd3BAu4Fv3jQ
志祺七七 X 圖文不符,https://www.youtube.com/channel/UCiWXd0nmBjlKROwzMyPV-Nw
韓勾ㄟ金針菇 찐쩐꾸,https://www.youtube.com/channel/UCvcZO0cvDT3rzKtfakL3R5Q
好棒Bump,https://www.youtube.com/channel/UC7XxnhjdYjiQJ3m80K_N_4g
cheap,https://www.youtube.com/channel/UCGGrblndNzi86WY5lJkQJiA
the劉沛,https://www.youtube.com/channel/UCK3Ycl9dcHk0qz8yoN-6phA
眼球中央電視台,https://www.youtube.com/channel/UCTqPBBnP2T57kmiPQ87986g
見習網美小吳,https://www.youtube.com/channel/UCAfcy122TZHqDQMMAwfbvBQ
菜喳,https://www.youtube.com/channel/UCSckEwXBJmJEUzIo6NplQ5g
松松和二毛,https://www.youtube.com/channel/UCA2qvunXtkK3SUVxfOGiobA
